,names,gender
1335,jairam singh yadav,male
2928,mahender chaudhary,male
7487,monu chauhan,male
1291,anooj,male
14990,smt  pinky ,female
11780,smt rukshana,female
1066,vashu,male
13317,saimun nisha,female
945,deva ram,male
81,khalil ,male
14944,rafat yashmeen,female
1332,gagandeep,male
9675,smt geeta,female
1981,ratn lal,male
2493,faizal,male
5052,najim,male
12694,satosh,female
12951,priya,female
11174,archana  sharma,female
3979,rajesh kalia,male
689,raj pal,male
401,pankaj sehgal,male
6175,pawan kumar sharam,male
9973,smt pooja kumari,female
14831,bipnesh,female
8060,mukesh kumar shav,male
2966,mangla ram,male
5324,afsar alam,male
4485,anoop,male
12245,nisha sharma ,female
8597,anjali ,female
12968,mamta jha,female
9809,shimla devi,female
11104,sashi pal,female
3342,vishal ,male
15027,megha bansal,female
3096,jaidul ali sekh,male
12320,neema mishra,female
8045,ramesh upreti,male
1490,jagdish juneja,male
7734,mohd zahid ,male
13395,savitri,female
7801,akhalak,male
7682,manish kumar ,male
10796,smt rita,female
250,gonsan topno,male
10803,shkuntala devi,female
9774,rakhee,female
8054,mohd yunus,male
3557,shaikh ajamat,male
5309,patik,male
9069,roopa,female
12915,bhagay shree,female
14502,meenakshi ,female
9209,chameli,female
598,arif,male
14781,richa kumari,female
11137,jarina ,female
6211,kamal kakkad,male
10951,pratima,female
13284,kumari priyanka agarwal,female
3131,azad,male
11541,sabiya khatoon,female
10846,durga,female
11902,smt mholani,female
1945,istikar,male
93,pankaj baisla,male
11153,muskan ,female
6390,deepak rana,male
12900,smt. nadu devi,female
1695,ramu,male
8377,raju singh,male
1071,manoj mahto,male
7854,mintu,male
11593,ruksar,female
8726,jhora begam,female
9373,rama sharma,female
241,gobind,male
13844,smt shyamwati,female
6426,aamin,male
5550,mahipal singh yadav,male
3532,aravind,male
3774,manoj kumar rajhans,male
14967,nila,female
3085,narayan sharma,male
15127,"smt, manju  devi",female
14054,aarti bunkar,female
9200,sanjna,female
9077,ranju sharma,female
622,liveri santam,male
7600,kumari archana chauhan,male
771,sandhaya,male
1246,anil sen,male
6521,surjeet singh,male
9229,parem devi,female
12594,smt. laltesh,female
8737,anupam,female
12478,mehak kapil,female
13865,iema,female
7365,satyanarayan lohar,male
8291,rajuddin,male
4051,ram jiyavan,male
